confidence_threshold,n_total,n_accepted,n_rejected,coverage,rejection_rate,accuracy_accepted,fnr_accepted,fpr_accepted,accuracy_rejected,accuracy_gain,accuracy_overall_conservative
0.0,100,100,0,1.0,0.0,0.8,0.06779661016949153,0.3902439024390244,0.0,0.0,0.8
0.01,100,99,1,0.99,0.01,0.8080808080808081,0.06779661016949153,0.375,0.0,0.8080808080808081,0.7999999999999999
0.02,100,99,1,0.99,0.01,0.8080808080808081,0.06779661016949153,0.375,0.0,0.8080808080808081,0.7999999999999999
0.03,100,99,1,0.99,0.01,0.8080808080808081,0.06779661016949153,0.375,0.0,0.8080808080808081,0.7999999999999999
0.04,100,98,2,0.98,0.02,0.8163265306122449,0.06779661016949153,0.358974358974359,0.0,0.8163265306122449,0.8
0.05,100,98,2,0.98,0.02,0.8163265306122449,0.06779661016949153,0.358974358974359,0.0,0.8163265306122449,0.8
0.06,100,98,2,0.98,0.02,0.8163265306122449,0.06779661016949153,0.358974358974359,0.0,0.8163265306122449,0.8
0.07,100,98,2,0.98,0.02,0.8163265306122449,0.06779661016949153,0.358974358974359,0.0,0.8163265306122449,0.8
0.08,100,98,2,0.98,0.02,0.8163265306122449,0.06779661016949153,0.358974358974359,0.0,0.8163265306122449,0.8
0.09,100,98,2,0.98,0.02,0.8163265306122449,0.06779661016949153,0.358974358974359,0.0,0.8163265306122449,0.8
0.1,100,97,3,0.97,0.03,0.8247422680412371,0.06779661016949153,0.34210526315789475,0.0,0.8247422680412371,0.7999999999999999
0.11,100,97,3,0.97,0.03,0.8247422680412371,0.06779661016949153,0.34210526315789475,0.0,0.8247422680412371,0.7999999999999999
0.12,100,97,3,0.97,0.03,0.8247422680412371,0.06779661016949153,0.34210526315789475,0.0,0.8247422680412371,0.7999999999999999
0.13,100,97,3,0.97,0.03,0.8247422680412371,0.06779661016949153,0.34210526315789475,0.0,0.8247422680412371,0.7999999999999999
0.14,100,97,3,0.97,0.03,0.8247422680412371,0.06779661016949153,0.34210526315789475,0.0,0.8247422680412371,0.7999999999999999
0.15,100,97,3,0.97,0.03,0.8247422680412371,0.06779661016949153,0.34210526315789475,0.0,0.8247422680412371,0.7999999999999999
0.16,100,97,3,0.97,0.03,0.8247422680412371,0.06779661016949153,0.34210526315789475,0.0,0.8247422680412371,0.7999999999999999
0.17,100,97,3,0.97,0.03,0.8247422680412371,0.06779661016949153,0.34210526315789475,0.0,0.8247422680412371,0.7999999999999999
0.18,100,97,3,0.97,0.03,0.8247422680412371,0.06779661016949153,0.34210526315789475,0.0,0.8247422680412371,0.7999999999999999
0.19,100,97,3,0.97,0.03,0.8247422680412371,0.06779661016949153,0.34210526315789475,0.0,0.8247422680412371,0.7999999999999999
