model,worst_group_fnr,worst_fnr_group,max_performance_gap,max_gap_metric,n_disadvantaged_groups,total_groups_compared
logistic_regression,0.5000,>65,0.4310,fnr,3,15
random_forest,0.5000,>65,0.4655,fnr,5,15
